Date,Open,High,Low,Close,Adj Close,Volume
"Oct 30, 2018",256.000,258.000,251.400,252.200,252.200,"29,484,819"
"Oct 29, 2018",264.600,264.600,255.000,260.000,260.000,"24,019,681"
"Oct 26, 2018",269.000,269.800,259.400,260.000,260.000,"26,383,457"
"Oct 25, 2018",266.800,270.000,265.000,269.000,269.000,"31,111,906"
"Oct 24, 2018",282.600,284.800,272.000,275.800,275.800,"26,379,754"
"Oct 23, 2018",293.000,293.000,277.000,277.800,277.800,"30,960,896"
"Oct 22, 2018",282.000,293.800,280.600,291.200,291.200,"28,245,575"
"Oct 19, 2018",275.200,286.200,273.400,282.000,282.000,"25,231,456"
"Oct 18, 2018",286.000,286.000,273.400,281.000,281.000,"21,982,489"
"Oct 16, 2018",283.200,283.800,273.200,281.400,281.400,"25,111,529"
"Oct 15, 2018",291.600,291.600,278.000,282.800,282.800,"27,588,752"
"Oct 12, 2018",277.000,289.600,273.000,288.400,288.400,"54,416,265"
"Oct 11, 2018",274.000,274.600,265.000,267.000,267.000,"67,626,040"
"Oct 10, 2018",294.000,296.800,285.600,286.400,286.400,"33,300,721"
"Oct 09, 2018",300.000,301.400,293.800,293.800,293.800,"26,099,026"
"Oct 08, 2018",305.800,306.800,299.000,299.000,299.000,"22,217,251"
"Oct 05, 2018",305.000,307.800,302.400,305.000,305.000,"21,377,602"
"Oct 04, 2018",315.400,315.400,307.000,308.400,308.400,"22,449,211"
"Oct 03, 2018",313.000,319.600,313.000,316.000,316.000,"13,143,988"
"Oct 02, 2018",325.000,325.000,315.000,317.000,317.000,"21,722,687"
"Sep 28, 2018",327.600,327.600,321.200,323.200,323.200,"16,420,799"
"Sep 27, 2018",333.200,333.200,321.800,325.400,325.400,"19,972,795"
"Sep 26, 2018",331.400,332.600,328.000,330.000,330.000,"23,118,115"
"Sep 24, 2018",332.200,332.400,326.000,327.800,327.800,"18,537,726"
"Sep 21, 2018",327.600,334.400,326.000,334.400,334.400,"30,123,052"
"Sep 20, 2018",329.000,329.000,321.200,324.200,324.200,"19,471,441"
"Sep 19, 2018",320.000,326.800,319.200,321.600,321.600,"20,774,346"
"Sep 18, 2018",315.000,323.400,311.000,318.000,318.000,"24,482,875"
"Sep 17, 2018",325.000,326.000,318.600,319.200,319.200,"18,863,537"
"Sep 14, 2018",330.000,331.800,328.000,330.000,330.000,"26,428,478"
"Sep 13, 2018",314.800,323.800,314.000,323.800,323.800,"30,836,213"
"Sep 12, 2018",312.000,312.400,305.200,308.400,308.400,"23,489,734"
"Sep 11, 2018",313.600,314.000,307.200,308.000,308.000,"29,972,185"
"Sep 10, 2018",318.800,322.000,311.800,313.600,313.600,"24,847,539"
"Sep 07, 2018",313.200,319.600,309.600,316.800,316.800,"39,938,047"
"Sep 06, 2018",316.000,322.800,312.000,314.600,314.600,"44,287,451"
"Sep 05, 2018",332.200,333.400,323.200,324.800,324.800,"31,479,425"
"Sep 04, 2018",329.200,341.000,329.000,338.600,338.600,"18,025,607"
"Sep 03, 2018",333.400,335.200,328.600,332.800,332.800,"27,672,896"
"Aug 31, 2018",339.600,343.600,338.000,340.000,340.000,"51,544,845"
"Aug 30, 2018",361.200,362.600,355.400,357.400,357.400,"12,131,375"
"Aug 29, 2018",365.000,366.000,357.800,360.800,360.800,"15,732,722"
"Aug 28, 2018",365.000,368.800,361.400,365.400,365.400,"20,573,345"
"Aug 27, 2018",359.400,361.000,356.200,361.000,361.000,"13,959,775"
"Aug 24, 2018",353.000,358.000,352.600,354.000,354.000,"17,545,124"
"Aug 23, 2018",363.000,363.200,354.000,359.000,359.000,"20,061,919"
"Aug 22, 2018",354.000,360.600,349.400,359.400,359.400,"28,940,119"
"Aug 21, 2018",355.000,355.000,345.600,350.600,350.600,"22,787,446"
"Aug 20, 2018",343.200,352.400,342.400,350.800,350.800,"34,973,182"
"Aug 17, 2018",335.000,338.800,333.600,337.000,337.000,"42,698,939"
"Aug 16, 2018",320.000,332.600,319.000,325.800,325.800,"69,246,930"
"Aug 15, 2018",343.000,344.000,335.000,336.000,336.000,"37,288,416"
"Aug 14, 2018",355.000,358.000,341.800,348.600,348.600,"40,167,471"
"Aug 13, 2018",363.000,364.600,360.200,361.000,361.000,"16,951,441"
"Aug 10, 2018",375.400,375.600,364.600,370.000,370.000,"19,525,508"
"Aug 09, 2018",367.000,375.400,365.000,372.600,372.600,"26,626,507"
"Aug 08, 2018",366.600,366.600,360.600,364.000,364.000,"25,449,715"
"Aug 07, 2018",355.000,358.400,348.600,357.000,357.000,"18,131,302"
"Aug 06, 2018",357.800,357.800,350.000,353.000,353.000,"21,446,403"
"Aug 03, 2018",348.200,354.600,346.600,349.800,349.800,"30,270,747"
"Aug 02, 2018",352.800,354.400,340.400,345.000,345.000,"40,777,013"
"Aug 01, 2018",360.800,361.200,353.000,355.000,355.000,"25,708,741"
"Jul 31, 2018",361.000,361.800,353.400,355.200,355.200,"36,978,659"
"Jul 30, 2018",370.000,370.800,361.600,367.200,367.200,"25,413,455"
"Jul 27, 2018",371.000,374.000,369.800,373.000,373.000,"14,462,929"
"Jul 26, 2018",381.800,382.800,370.400,374.800,374.800,"22,285,509"
"Jul 25, 2018",378.200,380.000,376.400,379.800,379.800,"18,701,043"
"Jul 24, 2018",374.000,375.600,371.800,375.200,375.200,"20,856,611"
"Jul 23, 2018",377.600,377.600,369.200,371.000,371.000,"19,939,375"
"Jul 20, 2018",375.800,377.600,371.600,376.600,376.600,"17,079,527"
"Jul 19, 2018",378.000,380.600,375.200,375.600,375.600,"10,488,882"
"Jul 18, 2018",380.400,383.000,376.000,378.000,378.000,"13,200,548"
"Jul 17, 2018",380.000,380.600,375.000,375.800,375.800,"15,541,560"
"Jul 16, 2018",383.600,386.200,380.400,381.400,381.400,"11,036,993"
"Jul 13, 2018",386.800,386.800,380.000,381.000,381.000,"12,236,915"
"Jul 12, 2018",378.000,384.800,376.800,380.000,380.000,"15,496,184"
"Jul 11, 2018",378.000,382.200,375.000,379.400,379.400,"24,515,081"
"Jul 10, 2018",396.000,398.000,386.200,386.800,386.800,"26,791,391"
"Jul 09, 2018",394.200,398.000,392.200,396.000,396.000,"18,373,223"
"Jul 06, 2018",387.000,389.200,380.400,386.600,386.600,"18,000,963"
"Jul 05, 2018",383.000,388.000,379.200,385.600,385.600,"13,984,065"
"Jul 04, 2018",389.200,390.800,381.800,383.000,383.000,"15,074,945"
"Jul 03, 2018",395.000,395.000,381.600,390.800,390.800,"25,640,221"
"Jun 29, 2018",380.000,393.800,380.000,393.800,393.800,"28,307,465"
"Jun 28, 2018",375.000,382.400,373.400,379.000,379.000,"27,513,679"
"Jun 27, 2018",386.000,387.600,377.400,377.400,377.400,"28,081,870"
"Jun 26, 2018",384.000,390.400,380.000,386.000,386.000,"29,827,048"
"Jun 25, 2018",395.000,397.800,388.400,388.800,388.800,"21,688,209"
"Jun 22, 2018",395.600,400.400,391.200,397.400,397.400,"20,167,800"
"Jun 21, 2018",404.400,405.000,396.200,396.800,396.800,"20,161,454"
"Jun 20, 2018",400.000,404.600,397.400,400.200,400.200,"22,963,740"
"Jun 19, 2018",410.000,410.000,395.200,396.800,396.800,"34,554,216"
"Jun 15, 2018",416.000,417.000,408.400,410.000,410.000,"23,180,404"
"Jun 14, 2018",417.600,417.600,408.600,412.000,412.000,"17,691,467"
"Jun 13, 2018",420.000,420.000,415.000,415.200,415.200,"12,210,371"
"Jun 12, 2018",420.400,422.400,416.200,417.400,417.400,"12,361,698"
"Jun 11, 2018",420.000,421.000,415.600,419.000,419.000,"15,480,976"
"Jun 08, 2018",426.600,426.600,412.600,415.000,415.000,"28,928,220"
"Jun 07, 2018",431.000,431.600,425.800,429.200,429.200,"24,688,648"
"Jun 06, 2018",421.200,425.000,420.800,425.000,425.000,"23,218,762"
